moniker,operator_address,staked,delegator_shares,greed,ownership,power,jailed_times_100_000,jailed_times_all,isjailed,validator_rank,cost_optimization,cost_endorsement,decentralization,decentralization_endorsement,confidence,confidence_endorsement,superintelligence,superintelligence_endorsement,reliability,reliability_endorsement,total
lux8.net,bostromvaloper1m0tjgkrh4td9fcp8nnssu3rfdahzfgds026q0x,135397281095,135397281095.0,0.08,0.009314917949608478,0.0,0,0,False,70.0,156.25,189792660132,70.0,385975427030,0.49658908744960417,210637265888,0.0,0,3.0,231975343676,1018380696726
StakeAngle,bostromvaloper1g2d9xyuf7ddgaj4llxvg50pfhlsr9ehfjeqjne,607464286080,607646561611.0323,0.1,0.011108431159871224,102.528656,0,3,False,40.0,99.99999999999999,121467302484,40.0,220557386874,0.5589069622574842,237070522472,2.0150605760745863,272551879456,1.999400150666582,154603845699,1006250936985
Citizen Cosmos,bostromvaloper1f7nx65pmayfenpfwzwaamwas4ygmvalqj6dz5r,5683249899703,5683818281447.597,0.05,0.022473704061944325,0.0,0,1,False,4.0,399.99999999999994,485869209938,4.0,22055738687,0.8090843765602289,343187809113,0.0,0,1.9998000100293956,154634764870,1005747522608
dalek,bostromvaloper1d375m6l5rgs0x8rx09p6nwpwukqjcuvuvklj3m,309448919839,309448919839.0,0.1,0.03049679636920363,0.0,0,0,False,48.0,99.99999999999999,121467302484,48.0,264668864249,0.8942932997199906,379330718930,0.0,0,3.0,231975343676,997442229339
Maksimba,bostromvaloper16wcy0dlqx58n3j6gfm2l28t949ka5l4legnuur,103337459017,103337459017.0,0.1,0.009790450864807527,0.0,0,0,False,73.0,99.99999999999999,121467302484,73.0,402517231045,0.5139224397777282,217989521576,0.0,0,3.0,231975343676,973949398781
Kerman,bostromvaloper1ke6pp2kq2wx74tlh5fxqgp7af6jtsna3wvvr8e,875141976064,875754820227.4183,0.07,0.03861290578470524,0.0,1,7,False,37.0,204.0816326530612,247892454050,37.0,204015582858,0.941871781247775,399511994591,0.0,0,1.498600910395774,115879487074,967299518573
allcash,bostromvaloper107jv9wtq5mwhgwktnl8hhktl2kveggltdj269z,151790574957,151805755483.5649,0.1,0.011322408038093692,2.850519,0,1,False,67.0,99.99999999999999,121467302484,67.0,369433623014,0.5658068747870086,239997245485,0.5855192707149958,79195821498,1.9998000106452793,154634764917,964728757398
starhit,bostromvaloper1wny7fkhnyjr0rxs4jgy7vwxaeu0r5fqtyzymv2,202042928696,202386710113.88318,0.1,0.010897873363897598,7.8671690000000005,0,17,False,58.0,99.99999999999999,121467302484,58.0,319808210967,0.5520102758957524,234145167897,0.9477849857928098,128194944740,1.9966056127115517,154387757731,958003383819
medium,bostromvaloper15kl5tv0smz5h8eewu5hs9mtnusz4dereu6pemd,251853880260,251904258438.17032,0.1,0.005557667058990739,46.91386699999999,0,2,False,54.0,99.99999999999999,121467302484,54.0,297752472280,0.336020525777756,142529198931,1.6804612230182179,227294836753,1.999600061222211,154619303805,943663114253
Citadel.one,bostromvaloper1argjwgcplguenq4l92ggn06wadnfrz0eq6yysn,3150862605600,3151177723211.751,0.05,0.012693666785379809,0.0,0,1,False,8.0,399.99999999999994,485869209938,8.0,44111477374,0.6075334362531069,257696323141,0.0,0,1.9998000101019011,154634764875,942311775328
DemonKing,bostromvaloper1kaaxhzud2ev7v69kwkf8vuvhst9a36wzv9j49r,260853389563,261088274490.21506,0.1,0.04213211508737431,0.0,1,9,False,53.0,99.99999999999999,121467302484,53.0,292238537608,0.955148980722411,405143759498,0.0,0,1.4982015333934622,115848605201,934698204791
MMatriXX,bostromvaloper1mln0yvsm653nwyw3qaedhf2s38tagy5g60jkgh,151277635264,151292764426.3299,0.1,0.007088795591817376,5.4960059999999995,0,1,False,68.0,99.99999999999999,121467302484,68.0,374947557686,0.40685818597640866,172576276974,0.8126464173669994,109916451652,1.9998000115083514,154634764984,933542353780
Stigga,bostromvaloper12kpw3e9ypjal6upmju9smwgjhwefpt7vaxz99p,101567607349,101567607349.0,0.1,0.0020093259290705277,4.104276,0,0,False,74.0,99.99999999999999,121467302484,74.0,408031165717,0.13761425274322892,58371580603,0.7079341496543775,95753341269,3.0,231975343676,915598733749
chocowaka,bostromvaloper1hqjl8luqfwmndsqf8esjeptd8st5ge2e0c8s9z,143079606336,143079606336.0,0.09,0.005592114204738931,0.0,0,0,False,69.0,123.4567901234568,149959632697,69.0,380461492358,0.3377036746326475,143243137037,0.0,0,3.0,231975343676,905639605768
AlphaCentavra,bostromvaloper1ezqvp6aga74ms7jqrfwhrm7266sn2m500l40jz,211734326973,211924982424.66196,0.1,0.007926808949660883,7.3074449999999995,0,9,False,57.0,99.99999999999999,121467302484,57.0,314294276296,0.4423751574656505,187641444446,0.9194674746843539,124364791460,1.998201536324986,154511162707,902278977393
NodeMarsel,bostromvaloper1vrym7t34gs9t2dkd8z849zcymkj54kgqxm2khp,1415545644765,1415828796307.2751,0.05,0.0009401644813939847,12.3906,1,3,False,21.0,399.99999999999994,485869209938,21.0,115792628109,0.06692890353048264,28389108026,1.1268000371203848,152408057373,1.499600060078901,115956746437,898415749883
cccatch,bostromvaloper10jmsqhf7mwquv0wa08hegxqaasvue5tnpghpd0,60301601404,60301601404.0,0.1,0.0017843871720604496,0.0,0,0,False,87.0,99.99999999999999,121467302484,87.0,479712316451,0.12320187888580836,52258310898,0.0,0,3.0,231975343676,885413273509
g0g0stake,bostromvaloper13er6djw40xer2syx4qfw3fcl9fantzs39955ck,211784270312,212569295773.74005,0.1,0.00933732452408649,3.146742,0,37,False,56.0,99.99999999999999,121467302484,56.0,308780341624,0.4974195217964511,210989509674,0.6177070154792982,83549452568,1.992627572139708,154080155288,878866761638
strike,bostromvaloper17mzu2rmfnr3ge0r8l8d4w62fk39v9t5s8f7asf,28010000000,28010000000.0,0.1,0.0003570153516601214,0.0,0,0,False,91.0,99.99999999999999,121467302484,91.0,501768055139,0.025962878121703392,11012625529,0.0,0,3.0,231975343676,866223326828
linak,bostromvaloper1v46pz6ddetfc3tnvdr28ss0l48jhazgytkxwga,50261412527,50261412527.0,0.1,0.0006688002845511434,0.0,0,0,False,89.0,99.99999999999999,121467302484,89.0,490740185795,0.0480845166188304,20395919620,0.0,0,3.0,231975343676,864578751575
bloqhub,bostromvaloper1gh09lmm8flkuu3w38mr4axvunnu6qqlaexfan0,1569104938890,1569104938890.0,0.1,0.0525758334929206,0.0,0,0,False,17.0,99.99999999999999,121467302484,17.0,93736889421,0.979223455035453,415355384311,0.0,0,3.0,231975343676,862534919892
csaxial,bostromvaloper1ezpth4mp3eeqdt49kgqd5ctr69xev6v2s737vq,1001873007005,1001973204272.8191,0.1,0.05184247813629416,0.0,0,1,False,31.0,99.99999999999999,121467302484,31.0,170931974827,0.9780698955766283,414866081149,0.0,0,1.9998000101049986,154634764875,861900123335
odinmanul,bostromvaloper1cn8nm5ywfda7dkrfcsh0wdnne6zx4pr536s9s4,100489999029,100500049033.9034,0.1,0.004975609850047937,0.0,0,1,False,78.0,99.99999999999999,121467302484,78.0,430086904405,0.3069245991785793,130187634079,0.0,0,1.99980001,154634764867,836376605835
Node_masters,bostromvaloper1zy553za8nenzukmv65240323jhuvxzymdmc97x,2060316329929,2060316329929.0,0.1,0.03795577597285503,0.0,0,0,False,13.0,99.99999999999999,121467302484,13.0,71681150734,0.9389880130257746,398288792009,0.0,0,3.0,231975343676,823412588903
Bro_n_Bro,bostromvaloper1ydc5fy9fjdygvgw36u49yj39fr67pd9m5qexm8,8021801555905,8021801555905.0,0.05,0.00010596123502635127,1.0,0,0,False,1.0,399.99999999999994,485869209938,1.0,5513934671,0.007777112868418312,3298803442,0.3010299956639812,40716538284,3.0,231975343676,767373830011
Notional,bostromvaloper1g65rmjkeuy5rywx04s4fvwfylmlz98vq4gzln5,3704585186327,3707550188199.832,0.0969,0.06696965501176112,0.0,0,8,False,5.0,106.50069598204824,129363522536,5.0,27569673359,0.9928059899593877,421116662785,0.0,0,1.9984011996403006,154526601696,732576460376
wombat,bostromvaloper1avvkajdvmj9d8jpl0ga4scftjykeuhjpg8zfeh,484577375904,484577375904.0,0.1,0.0020636539172602868,1.858101,0,0,False,42.0,99.99999999999999,121467302484,42.0,231585256218,0.14105951195426492,59832949769,0.4560775718893921,61687872251,3.0,231975343676,706548724398
44a6facbe2of,bostromvaloper1q7qc5ghducptzd3hpqce2a68wyhaex2tt5phgq,157015110001,157015110001.0,0.1,6.368813803930278e-05,0.0,0,0,False,63.0,99.99999999999999,121467302484,63.0,347377884327,0.004681721846244713,1985837212,0.0,0,3.0,231975343676,702806367699
P2P.ORG - P2P Validator,bostromvaloper1daxxqs56f6j5qxxtjrjkexghsmnaj66tpghggy,1644865611964,1644865611964.0,0.1,0.006079524021454746,0.0,0,0,False,16.0,99.99999999999999,121467302484,16.0,88222954749,0.361067129617474,153153170109,0.0,0,3.0,231975343676,594818771018
kiwi,bostromvaloper1w4tk9lj8qtx2x4xf4emgrnq950hnlajs795qpl,1292687565214,1293075448955.858,0.1,0.0023200502354205825,0.0,0,3,False,25.0,99.99999999999999,121467302484,25.0,137848366796,0.1571342773552773,66651352991,0.0,0,1.9994001501374985,154603845658,480570867929
#decentralizehk,bostromvaloper19hsqcy8w8m3jxjcjdjmas4tnfpkrnm80ptywhu,308762331505,308793210752.1793,0.0,0.00011872993969604855,0.0,0,1,False,49.0,0.0,0,49.0,270182798921,0.00871018982988403,3694584954,0.0,0,1.999800010478563,154634764904,428512148779
PoorButHappy,bostromvaloper1r28nhrkwcvqs4qss2l7zqdvc2qfdl8arglv6nn,930730191436,930730191436.0,0.0,1.0744252299983149e-05,0.0,0,0,False,34.0,0.0,0,34.0,187473778843,0.0007913524811371531,335666504,0.0,0,3.0,231975343676,419784789023
